Eesnimi;Perenimi;Sünniaeg;Kasutajanimi;Epost
Jan;Kool;21.10.1996;sasa.kool;sasa.kool@asutus.com
Kairit;Järvesaar;22.06.1992;sasa.jarvesaar;sasa.jarvesaar@asutus.com
Marili;Kink;29.01.1995;sasa.kink;sasa.kink@asutus.com
Meribel;Drozdov;24.07.1992;sasa.drozdov;sasa.drozdov@asutus.com
Ian;Leppik;16.01.1993;sasa.leppik;sasa.leppik@asutus.com
Jüri;Tamberg;25.09.1999;sasa.tamberg;sasa.tamberg@asutus.com
Markkus;Vain;12.07.1994;sasa.vain;sasa.vain@asutus.com
Kätlin;Stepanov;11.10.1998;sasa.stepanov;sasa.stepanov@asutus.com
Tarvi;Trei;01.11.1991;sasa.trei;sasa.trei@asutus.com
Aivar;Merisaar;22.09.1997;sasa.merisaar;sasa.merisaar@asutus.com
Kaspar;Medvedev;23.09.1996;sasa.medvedev;sasa.medvedev@asutus.com
Matthias;Herodes;23.01.1991;sasa.herodes;sasa.herodes@asutus.com
Anastassia;Tsvetkov;04.01.1999;sasa.tsvetkov;sasa.tsvetkov@asutus.com
Veiko;Jakobson;12.06.1994;sasa.jakobson;sasa.jakobson@asutus.com
Maria;Toomsalu;09.12.1998;sasa.toomsalu;sasa.toomsalu@asutus.com
Teili;Ploom;07.08.1992;sasa.ploom;sasa.ploom@asutus.com
Lija;Tammet;13.10.1996;sasa.tammet;sasa.tammet@asutus.com
Aire;Kroon;07.04.1991;sasa.kroon;sasa.kroon@asutus.com
Siim;Paju;13.04.1997;sasa.paju;sasa.paju@asutus.com
Kirsika;Tamm;18.04.1997;sasa.tamm;sasa.tamm@asutus.com
Merily;Mürk;28.08.1992;sasa.murk;sasa.murk@asutus.com
Taisi;Kirss;13.09.1999;sasa.kirss;sasa.kirss@asutus.com
Marti;Mann;19.07.1991;sasa.mann;sasa.mann@asutus.com
Ervin;Kalda;18.07.1990;sasa.kalda;sasa.kalda@asutus.com
Helis;Pihlak;03.06.1994;sasa.pihlak;sasa.pihlak@asutus.com
Reimo;Silm;23.08.1994;sasa.silm;sasa.silm@asutus.com
Vanessa;Sorokin;13.01.1990;sasa.sorokin;sasa.sorokin@asutus.com
Keily;Kalinin;26.03.1994;sasa.kalinin;sasa.kalinin@asutus.com
Emilie;Lokk;26.09.1994;sasa.lokk;sasa.lokk@asutus.com
Elar;Baskin;02.09.1992;sasa.baskin;sasa.baskin@asutus.com
Alar;Kodres;08.03.1997;sasa.kodres;sasa.kodres@asutus.com
Inna;Niit;08.03.1993;sasa.niit;sasa.niit@asutus.com
Rebeca;Sepp;18.02.1993;sasa.sepp;sasa.sepp@asutus.com
Frank;Rätsep;25.02.1992;sasa.ratsep;sasa.ratsep@asutus.com
Renno;Nuut;02.05.1992;sasa.nuut;sasa.nuut@asutus.com
Meelis;Lang;13.09.1992;sasa.lang;sasa.lang@asutus.com
Joonas;Reimann;19.02.1998;sasa.reimann;sasa.reimann@asutus.com
Gabriel;Viks;18.01.1998;sasa.viks;sasa.viks@asutus.com
Greete;Mäeots;07.06.1994;sasa.maeots;sasa.maeots@asutus.com
Kärt;Kaljula;30.06.1990;sasa.kaljula;sasa.kaljula@asutus.com
